Filename,Lines,Samples,Bands,First_Band,Last_Band,Confidence
v1871506769_1.lbl,24,24,352,0.35,5.102,0.0654930209913
v1871433707_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435582_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434955_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434582_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434910_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434848_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435726_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434726_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435462_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433662_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433627_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434888_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434968_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434507_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434995_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434542_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433811_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435507_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435542_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434057_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433990_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434851_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435057_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435012_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433928_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434356_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434313_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871509010_1.lbl,32,24,352,0.35,5.102,0.0654930209913
v1871435313_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434622_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434667_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435622_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435132_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434132_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434177_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435276_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871433766_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871434276_1.lbl,6,16,352,0.35,5.102,0.0654930209913
v1871435097_1.lbl,6,16,352,0.35,5.102,0.0654930209913
