Filename,Lines,Line Samples,Bands,First Band (µm),Last Band (µm),Possible Elements
v1514089408_1.lbl,24,36,352,0.35895,0.3879,
v1512192333_1.lbl,12,64,352,0.35895,0.3879,
v1514195521_1.lbl,64,64,352,0.35895,0.3879,
v1475241892_1.lbl,60,48,352,0.36,0.42,
v1473205391_1.lbl,54,60,352,0.36,0.42,
v1480790821_1.lbl,48,24,352,0.36,0.42,
v1484698189_1.lbl,64,16,352,0.36,0.42,
v1477332966_3.lbl,48,48,352,0.36,0.42,
v1512060380_1.lbl,12,32,352,0.35895,0.3879,
v1514298768_1.lbl,12,12,352,0.35895,0.3879,
v1481627806_1.lbl,12,24,352,0.36,0.42,
v1485958696_1.lbl,64,64,352,0.36,0.42,
v1514156860_1.lbl,12,24,352,0.35895,0.3879,
v1474330868_1.lbl,64,64,352,0.36,0.42,
v1477954631_1.lbl,12,64,352,0.36,0.42,
v1477638530_1.lbl,12,24,352,0.36,0.42,
v1514211378_1.lbl,64,64,352,0.35895,0.3879,
v1514473985_1.lbl,12,32,352,0.35895,0.3879,
v1477771108_1.lbl,64,64,352,0.36,0.42,
v1512355149_1.lbl,24,64,352,0.35895,0.3879,
v1514319121_1.lbl,64,64,352,0.35895,0.3879,
v1485887104_1.lbl,24,24,352,0.36,0.42,
v1485792419_1.lbl,64,64,352,0.36,0.42,
v1483232371_1.lbl,6,6,352,0.36,0.42,
v1514228340_1.lbl,24,24,352,0.35895,0.3879,
v1477311123_1.lbl,12,24,352,0.36,0.42,
v1513883189_1.lbl,12,24,352,0.35895,0.3879,
v1485893658_1.lbl,24,24,352,0.36,0.42,
v1487121258_1.lbl,12,12,352,0.36,0.42,
v1477880100_1.lbl,32,32,352,0.36,0.42,
v1473295944_1.lbl,54,60,352,0.36,0.42,
v1512154313_1.lbl,12,64,352,0.35895,0.3879,
v1479667191_1.lbl,64,64,352,0.36,0.42,
v1480519105_1.lbl,32,32,352,0.36,0.42,
v1473738066_1.lbl,60,48,352,0.36,0.42,
v1484585106_1.lbl,24,18,352,0.36,0.42,
v1481624032_1.lbl,12,24,352,0.36,0.42,
v1479807942_7.lbl,64,64,352,0.36,0.42,
v1512010265_1.lbl,12,32,352,0.35895,0.3879,
v1511995726_1.lbl,24,12,352,0.35895,0.3879,
v1514208296_1.lbl,32,32,352,0.35895,0.3879,
v1472673402_1.lbl,54,60,352,0.36,0.42,
v1477484455_1.lbl,12,12,352,0.36,0.42,
v1514204539_1.lbl,24,24,352,0.35895,0.3879,
v1514179100_1.lbl,64,64,352,0.35895,0.3879,
v1477870678_1.lbl,32,32,352,0.36,0.42,
v1472972875_1.lbl,54,60,352,0.36,0.42,
v1480786278_1.lbl,64,64,352,0.36,0.42,
v1477881058_1.lbl,32,32,352,0.36,0.42,
v1486553208_1.lbl,64,64,352,0.36,0.42,
v1473964472_1.lbl,60,48,352,0.36,0.42,
v1485757516_1.lbl,32,64,352,0.36,0.42,
v1514130321_1.lbl,36,36,352,0.35895,0.3879,
v1511994683_1.lbl,16,12,352,0.35895,0.3879,
v1481628008_1.lbl,12,24,352,0.36,0.42,
v1475042775_1.lbl,60,48,352,0.36,0.42,
v1514293143_1.lbl,64,64,352,0.35895,0.3879,
v1484575683_1.lbl,18,48,352,0.36,0.42,
v1513792815_1.lbl,8,48,352,0.35895,0.3879,
v1513908116_1.lbl,12,24,352,0.35895,0.3879,
v1481624991_1.lbl,12,24,352,0.36,0.42,
v1481621365_1.lbl,12,36,352,0.36,0.42,
v1479249302_1.lbl,64,64,352,0.36,0.42,
v1478038828_1.lbl,16,64,352,0.36,0.42,
v1476736848_1.lbl,24,24,352,0.36,0.42,
v1513817421_1.lbl,8,48,352,0.35895,0.3879,
v1514193601_1.lbl,16,24,352,0.35895,0.3879,
v1472800705_1.lbl,54,60,352,0.36,0.42,
v1514298165_1.lbl,12,12,352,0.35895,0.3879,
v1471227318_1.lbl,54,60,352,0.36,0.42,
v1477770740_1.lbl,64,64,352,0.36,0.42,
v1478540433_1.lbl,32,64,352,0.36,0.42,
v1477665190_1.lbl,12,64,352,0.36,0.42,
v1487006677_1.lbl,64,64,352,0.36,0.42,
v1470914675_1.lbl,54,60,352,0.36,0.42,
v1512004607_3.lbl,12,32,352,0.35895,0.3879,
v1485801564_1.lbl,64,64,352,0.36,0.42,
v1487100682_1.lbl,12,12,352,0.36,0.42,
v1470728737_1.lbl,54,60,352,0.36,0.42,
v1474466027_1.lbl,60,48,352,0.36,0.42,
